model,augmentation,phase,epoch,loss,accuracy,date,transformations
model,augmentation,phase,epoch,loss,accuracy,date,transformations
model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA__Size-640x640_Epoch-17_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,17,0.04548504704756564,0.9833662709018642,2023-06-18 18:28:34.404043,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-18_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,18,0.04783412117183536,0.9820177149510647,2023-06-18 18:31:04.123353,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-18_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,18,0.04430625736386629,0.9835981937876919,2023-06-18 18:31:04.123353,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-19_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,19,0.05138860083604743,0.9811469780219789,2023-06-18 18:33:34.701327,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-19_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,19,0.04535283764268745,0.9830818684895836,2023-06-18 18:33:34.701327,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-20_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,20,0.0461924725447546,0.9826920930631867,2023-06-18 18:36:06.233158,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-20_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,20,0.04421480001652973,0.9835966625548245,2023-06-18 18:36:06.233158,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-21_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,21,0.051946521076568206,0.9809869451837231,2023-06-18 18:38:36.973905,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-21_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,21,0.044549824743482624,0.9832616330866222,2023-06-18 18:38:36.973905,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-22_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,22,0.048023401237614866,0.9816627183851311,2023-06-18 18:41:06.505574,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-22_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,22,0.045532449732714315,0.9828345690275495,2023-06-18 18:41:06.505574,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-23_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,23,0.04714935779530596,0.9821535885989011,2023-06-18 18:43:39.344692,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-23_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,23,0.04395908083799377,0.9834936844675174,2023-06-18 18:43:39.344692,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-24_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,24,0.04863015301320907,0.9817246388865037,2023-06-18 18:46:10.015353,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-24_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,24,0.04469294359155914,0.9827263226425436,2023-06-18 18:46:10.015353,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-25_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,25,0.0445163784149502,0.9826609315976991,2023-06-18 18:48:40.536746,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-25_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,25,0.042663595055050234,0.9840293482730262,2023-06-18 18:48:40.536746,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-26_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,26,0.04798142743491373,0.9818582186856107,2023-06-18 18:51:13.376120,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-26_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,26,0.04428247092373408,0.9836916632401312,2023-06-18 18:51:13.376120,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-27_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,27,0.04340893365084552,0.9833940644316618,2023-06-18 18:53:44.932091,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-27_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,27,0.043275652012150535,0.9839314778645837,2023-06-18 18:53:44.932091,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-28_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,28,0.04481247403648692,0.9829536052326584,2023-06-18 18:56:15.523521,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-28_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,28,0.04336203063282658,0.9838926937705592,2023-06-18 18:56:15.523521,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-29_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,29,0.04880083601021177,0.9816554209950208,2023-06-18 18:58:47.246128,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-29_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,29,0.044457298793356144,0.9836506626062228,2023-06-18 18:58:47.246128,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-30_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,30,0.0441239355694871,0.9834210003863325,2023-06-18 19:01:16.945072,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-30_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,30,0.0446978507220353,0.982901943273711,2023-06-18 19:01:16.945072,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-31_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,31,0.04573013059856309,0.9824861698360232,2023-06-18 19:03:48.641890,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-31_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,31,0.04184624089107832,0.9844866300884048,2023-06-18 19:03:48.641890,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-32_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,32,0.044121570189248074,0.9830051430503084,2023-06-18 19:06:18.929076,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-32_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,32,0.041178289482271986,0.9846633857593203,2023-06-18 19:06:18.929076,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-33_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,33,0.04492017246045909,0.9828211790650755,2023-06-18 19:08:48.519523,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-33_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,33,0.04143065472721661,0.9843694640042492,2023-06-18 19:08:48.519523,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-34_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,34,0.046613484621047974,0.9821635688530215,2023-06-18 19:11:22.525891,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-34_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,34,0.04197809820700633,0.9838365949664204,2023-06-18 19:11:22.525891,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-35_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,35,0.044377794269226736,0.9829973627446772,2023-06-18 19:13:51.052632,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-35_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,35,0.04011835408266307,0.9849193907620613,2023-06-18 19:13:51.052632,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-36_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,36,0.04431379918561696,0.9832921826708448,2023-06-18 19:16:21.457604,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-36_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,36,0.04255726021355051,0.9836247494346223,2023-06-18 19:16:21.457604,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-37_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,37,0.04575544397684408,0.9826614547561809,2023-06-18 19:18:53.205376,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-37_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,37,0.03991241400587585,0.9847723709909542,2023-06-18 19:18:53.205376,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-38_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,38,0.04331630556383631,0.9830976213727677,2023-06-18 19:21:23.709507,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-38_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,38,0.040888971375432195,0.9846170204564145,2023-06-18 19:21:23.709507,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-39_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,39,0.0458489197209109,0.9824366709950206,2023-06-18 19:23:53.573762,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-39_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,39,0.04174643596470879,0.9844253914816337,2023-06-18 19:23:53.573762,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-40_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,40,0.045639464647028144,0.9826396967290522,2023-06-18 19:26:23.410782,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-40_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,40,0.040282213864357846,0.9846792656078674,2023-06-18 19:26:23.410782,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-41_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,41,0.04167764737516396,0.9835992632855425,2023-06-18 19:28:52.133752,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-41_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,41,0.03997719814804824,0.9845392274020011,2023-06-18 19:28:52.133752,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-42_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,42,0.04246762810929955,0.9836613447587567,2023-06-18 19:31:21.788837,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-42_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,42,0.04088504210506615,0.9845446134868429,2023-06-18 19:31:21.788837,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-43_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,43,0.04170727138765729,0.9838031341217376,2023-06-18 19:33:50.876998,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-43_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,43,0.03984544201133152,0.9846496367872809,2023-06-18 19:33:50.876998,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-44_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,44,0.04196003201202704,0.9836847661615734,2023-06-18 19:36:16.779622,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-44_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,44,0.040535948692673913,0.9847282436437778,2023-06-18 19:36:16.779622,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-45_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,45,0.04255390974723703,0.9834370304987986,2023-06-18 19:38:45.034033,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-45_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,45,0.04135480851114711,0.9845170512952309,2023-06-18 19:38:45.034033,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-46_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,46,0.04363731252397973,0.9834980924836887,2023-06-18 19:41:13.772998,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-46_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,46,0.04274211546994353,0.9842799564830041,2023-06-18 19:41:13.772998,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']
